,Text,Cluster,top_words,representative_term,top_words_BERT
0,"moeller 's student-run newspaper , crusader , consistently recognized one top region .",130,"school, schools, college, education, high",high,"moeller high, moeller students, ohio moeller, moeller student, moeller crusaders, high schools, archbishop moeller, salle high, moeller, success moeller"
1,"2008 , crusader first place , second-highest honor high school newspaper receive american scholastic press association .",130,"school, schools, college, education, high",high,"moeller high, moeller students, ohio moeller, moeller student, moeller crusaders, high schools, archbishop moeller, salle high, moeller, success moeller"
2,"squire student literary journal features stories , poems , essays written moeller students .",130,"school, schools, college, education, high",high,"moeller high, moeller students, ohio moeller, moeller student, moeller crusaders, high schools, archbishop moeller, salle high, moeller, success moeller"
3,paul keels - play-by-play announcer ohio state university football basketball wbns-fm .,140,"reno, host, basketball, kalamazoo, new",reno,"basketball reno, basketball wbns, basketball tournaments, basketball host, basketball united, college sports, play reno, athletic teams, reno college, international basketball"
4,joe uecker - ohio state senator ( r-66 ) .,23,"reconstruction, freedmen, south, states, state",state,"1868 republicans, 1866 senator, 1866 democratic, 1865 senator, southern republican, southerners campaign, union president, republican whites, south republicans, lincoln leader"
5,rico murray - undrafted free agent signee cincinnati bengals .,76,"gators, season, first, florida, coach",gators season,"gators football, gators lost, coached nebraska, gators season, season gators, gators ended, 1946 gators, gators hired, gators improved, gators record"
6,tony hunter - professional football player buffalo bills los angeles rams .,140,"reno, host, basketball, kalamazoo, new",reno,"basketball reno, basketball wbns, basketball tournaments, basketball host, basketball united, college sports, play reno, athletic teams, reno college, international basketball"
7,jack norris - president co-founder vegan outreach .,123,"canada, john, canadian, businessman, william",john,"chairman niagara, canada company, ontario cabinet, inventor canada, toronto merchant, canadian businessman, canadian inventor, ontario 1914, governor ontario, ontario minister"
8,"archbishop moeller high school established fall 1958 archbishop karl j. alter appointed monsignor edward a. mccarthy brother paul sibbing , s.m. , supervise planning construction new high school near montgomery , ohio .",130,"school, schools, college, education, high",high,"moeller high, moeller students, ohio moeller, moeller student, moeller crusaders, high schools, archbishop moeller, salle high, moeller, success moeller"
9,"moeller high school opened doors september 1960 , along la salle high school , fellow cincinnati archdiocesan school .",130,"school, schools, college, education, high",high,"moeller high, moeller students, ohio moeller, moeller student, moeller crusaders, high schools, archbishop moeller, salle high, moeller, success moeller"
10,"opened doors 1960 , moeller high school received students 15 parishes northeastern part greater cincinnati area , drawing roger bacon high school purcell marian high school , two all-male comprehensive cincinnati archdiocesan schools .",130,"school, schools, college, education, high",high,"moeller high, moeller students, ohio moeller, moeller student, moeller crusaders, high schools, archbishop moeller, salle high, moeller, success moeller"
11,"starting freshman class 1999 , moeller high school adopted new laptop program .",130,"school, schools, college, education, high",high,"moeller high, moeller students, ohio moeller, moeller student, moeller crusaders, high schools, archbishop moeller, salle high, moeller, success moeller"
